codigo_banco,nome_banco,arquivo_logo
001,Banco do Brasil,bb.png
003,Banco da Amazonia,amazonia.png
004,Banco do Nordeste,bnb.png
021,Banestes,banestes.png
033,Santander,santander.png
041,Banrisul,banrisul.png
047,Banese,banese.png
070,BRB,brb.png
077,Inter,inter.png
104,Caixa Economica Federal,caixa.png
136,Unicred,unicred.png
197,Stone,stone.png
208,BTG Pactual,btg.png
212,Banco Original,original.png
237,Bradesco,bradesco.png
260,Nu Pagamentos (Nubank),nubank.png
290,PagSeguro,pagseguro.png
318,BMG,bmg.png
320,CCB Brasil,ccb.png
323,Mercado Pago,mercadopago.png
336,C6 Bank,c6.png
341,Itau Unibanco,itau.png
389,Mercantil do Brasil,mercantil.png
399,HSBC,hsbc.png
422,Safra,safra.png
453,Banco Rural,rural.png
612,Guanabara,guanabara.png
623,Banco Pan,pan.png
633,Rendimento,rendimento.png
652,Itau Unibanco Holding,itau.png
655,Votorantim,votorantim.png
707,Daycoval,daycoval.png
735,Neon,neon.png
741,BRP,brp.png
743,Semear,semear.png
745,Citibank,citibank.png
746,Modal,modal.png
748,Sicredi,sicredi.png
751,Scotiabank,scotiabank.png
752,BNP Paribas,bnp.png
756,Sicoob,sicoob.png
757,KEB Hana,keb.png
